Index, Size, ZScore
114, 18526, 0.82
115, 21741, 1.29
116, 19426, 0.86
117, 18104, 0.62
118, 18242, 0.62
119, 22627, 1.27
120, 21153, 0.96
121, 15586, 0.05
122, 19864, 0.74
123, 22378, 1.13
124, 16079, 0.10
125, 17606, 0.34
126, 17544, 0.27
127, 17543, 0.22
128, 18349, 0.31
129, 10362, -1.26
130, 20285, 0.65
131, 17847, -0.00
132, 22109, 1.18
133, 5120, -3.42
134, 17872, -0.00
135, 7438, -2.61
136, 11396, -1.42
137, 14483, -0.75
138, 12470, -1.17
139, 22298, 1.15
140, 8122, -2.10
141, 11901, -1.08
142, 19040, 0.53
143, 22043, 1.15
144, 7123, -2.09
145, 7715, -1.77
146, 12738, -0.65
147, 5767, -1.96
148, 5970, -1.74
149, 7203, -1.38
150, 9185, -0.94
151, 7486, -1.19
152, 20410, 1.15
153, 11374, -0.43
154, 46943, 6.07
155, 6442, -0.99
156, 22002, 0.95
157, 12968, -0.16
158, 26518, 1.48
159, 25851, 1.33
160, 21878, 0.79
161, 18803, 0.43
162, 22473, 0.84
163, 1236, -1.56
164, 7997, -0.77
165, 8531, -0.66
166, 17066, 0.27
167, 13902, -0.10
168, 16363, 0.17
169, 18700, 0.42
170, 20326, 0.62
171, 18719, 0.39
172, 18718, 0.37
173, 32275, 1.89
174, 11094, -0.50
175, 9752, -0.66
176, 9142, -0.74
177, 6256, -1.03
178, 8469, -0.80
179, 12624, -0.36
180, 13362, -0.30
181, 27670, 1.27
182, 20520, 0.40
183, 10546, -0.70
184, 3935, -1.43
185, 28266, 1.71
186, 3572, -1.65
187, 17328, 0.22
188, 14738, -0.13
189, 21358, 0.79
190, 19385, 0.56
191, 23257, 1.10
192, 16755, 0.20
193, 10429, -0.63
194, 19720, 0.62
195, 19469, 0.54
196, 15289, -0.12
197, 17848, 0.26
198, 12728, -0.51
199, 15621, -0.07
200, 21862, 0.87
201, 15910, -0.02
202, 20279, 0.64
203, 18149, 0.32
204, 22462, 1.13
205, 15857, -0.01
206, 20879, 0.78
207, 20410, 0.65
208, 19543, 0.45
209, 22594, 0.95
210, 2127, -2.79
211, 14819, -0.40
212, 16409, -0.08
213, 14206, -0.43
214, 13771, -0.53
215, 22933, 1.09
216, 23090, 1.23
217, 11771, -1.33
218, 6969, -2.31
219, 17428, 0.05
220, 15450, -0.33
221, 18595, 0.34
222, 21192, 0.94
223, 12071, -1.02
224, 6732, -2.18
225, 15423, -0.22
226, 11528, -0.98
227, 16835, 0.11
228, 13802, -0.49
229, 15699, -0.12
230, 21106, 0.96
231, 23400, 1.43
232, 9327, -1.39
233, 15465, -0.13
234, 11106, -0.94
235, 13569, -0.41
236, 22856, 1.39
237, 17128, 0.28
238, 19089, 0.68
239, 7531, -1.54
240, 10170, -0.93
241, 23065, 1.63
242, 22729, 1.44
243, 20393, 0.90
244, 20614, 0.89
245, 20469, 0.81
246, 19864, 0.72
247, 20440, 0.88
248, 18513, 0.44
249, 13898, -0.60
250, 20647, 0.86
251, 18420, 0.34
252, 22127, 1.12
253, 22152, 1.11
254, 17375, 0.05
255, 20851, 0.76
256, 20630, 0.67
257, 22225, 0.98
258, 16289, -0.43
259, 5204, -3.02
260, 5234, -2.59
261, 39250, 4.09
262, 6355, -1.76
263, 2907, -2.22
264, 9390, -1.11
265, 5977, -1.56
266, 12590, -0.59
267, 2315, -1.92
268, 3068, -1.66
269, 3103, -1.53
270, 8516, -0.83
271, 22228, 0.80
272, 22302, 0.81
273, 8573, -0.81
274, 19644, 0.54
275, 20523, 0.65
276, 20391, 0.64
277, 19963, 0.58
278, 17943, 0.35
279, 21783, 0.80
280, 21608, 0.74
281, 8432, -0.80
282, 20438, 0.64
283, 19893, 0.58
284, 15773, 0.11
285, 15679, 0.11
286, 9765, -0.57
287, 17649, 0.41
288, 14970, 0.11
289, 11870, -0.26
290, 22472, 1.01
291, 8460, -0.79
292, 15018, 0.18
293, 6870, -1.09
294, 14060, -0.03
295, 11530, -0.45
296, 29599, 2.42
297, 4079, -1.64
298, 3009, -1.83
299, 2093, -1.97
300, 4161, -1.64
301, 3198, -1.71
302, 3997, -1.47
303, 4100, -1.35
304, 3301, -1.41
305, 3913, -1.23
306, 6446, -0.81
307, 16106, 0.54
308, 4383, -1.03
309, 3335, -1.11
310, 10426, -0.06
311, 7461, -0.44
312, 11987, 0.22
313, 15537, 0.79
314, 16696, 1.01
315, 20375, 1.56
316, 20354, 1.49
317, 20505, 1.41
318, 16073, 0.76
319, 17480, 0.95
320, 7349, -0.49
321, 15216, 0.69
322, 21720, 1.59
323, 7392, -0.48
324, 14692, 0.53
325, 22393, 1.59
326, 21833, 1.41
327, 19963, 1.28
328, 20242, 1.23
329, 14765, 0.38
330, 16375, 0.57
331, 21688, 1.31
332, 16735, 0.48
333, 22524, 1.34
334, 22204, 1.21
335, 21437, 1.03
336, 21897, 1.06
337, 22115, 1.03
338, 7172, -1.63
339, 19614, 0.54
340, 20348, 0.64
341, 20088, 0.54
342, 20006, 0.47
343, 20078, 0.44
344, 20348, 0.47
345, 19598, 0.27
346, 18826, 0.10
347, 22652, 0.99
348, 22028, 0.82
349, 21994, 0.76
350, 7195, -2.60
351, 20110, 0.30
352, 20727, 0.41
353, 20129, 0.28
354, 21428, 0.55
355, 8494, -2.93
356, 19738, 0.15
357, 12546, -1.54
358, 8682, -2.32
359, 5583, -2.73
360, 14987, -0.60
361, 8429, -1.84
362, 17789, 0.04
363, 17327, -0.05
364, 15517, -0.36
365, 18444, 0.23
366, 18637, 0.29
367, 18556, 0.30
368, 22573, 1.11
369, 8772, -1.78
370, 9429, -1.50
371, 15388, -0.25
372, 17656, 0.22
373, 11748, -0.91
374, 13094, -0.59
375, 10282, -1.10
376, 8562, -1.36
377, 14501, -0.15
378, 26058, 2.15
379, 22365, 1.34
380, 19985, 0.90
381, 20811, 1.00
382, 17477, 0.36
383, 18378, 0.55
384, 12374, -0.60
385, 11424, -0.74
386, 18012, 0.56
387, 15760, 0.12
388, 21624, 1.30
389, 16923, 0.25
390, 16855, 0.17
391, 6274, -2.21
392, 18907, 0.61
393, 16787, 0.14
394, 16062, -0.01
395, 17128, 0.22
396, 23021, 1.51
397, 22455, 1.31
398, 22043, 1.17
399, 21508, 1.07
400, 20500, 0.79
401, 17306, 0.04
402, 22097, 1.08
403, 21988, 1.00
404, 21879, 0.91
405, 21653, 0.81
406, 8361, -2.28
407, 20326, 0.45
408, 20388, 0.42
409, 20424, 0.50
410, 21757, 0.85
411, 21702, 0.81
412, 8450, -2.40
413, 16907, -0.26
414, 22060, 0.89
415, 17329, -0.23
416, 19830, 0.30
417, 20020, 0.33
418, 20159, 0.33
419, 20134, 0.34
420, 19998, 0.28
421, 21441, 0.60
422, 21997, 0.74
423, 20423, 0.25
424, 20406, 0.22
425, 19705, -0.02
426, 20417, 0.16
427, 20852, 0.32
428, 20736, 0.30
429, 20308, 0.19
430, 19771, 0.04
431, 20010, 0.12
432, 16426, -1.01
433, 7316, -3.74
434, 22231, 0.82
435, 16443, -0.67
436, 19302, 0.11
437, 3949, -4.52
438, 14429, -0.98
439, 20264, 0.40
440, 5724, -2.90
441, 4461, -2.75
442, 15587, -0.33
443, 13462, -0.80
444, 14208, -0.63
445, 20257, 0.58
446, 20391, 0.58
447, 20704, 0.64
448, 21548, 0.79
449, 12100, -1.01
450, 20422, 0.61
451, 20602, 0.64
452, 20211, 0.58
453, 22719, 1.07
454, 21729, 0.85
455, 10804, -1.19
456, 20240, 0.61
457, 17342, 0.08
458, 20671, 0.72
459, 20499, 0.68
460, 16927, 0.02
461, 21091, 0.81
462, 22151, 1.00
463, 16703, -0.04
464, 16705, -0.10
465, 20081, 0.59
466, 15579, -0.31
467, 8892, -1.59
468, 3651, -2.83
469, 3102, -2.57
470, 2087, -2.42
471, 10136, -0.99
472, 10840, -0.95
473, 20258, 0.69
474, 22120, 0.96
475, 22373, 0.95
476, 22073, 0.88
477, 22597, 0.95
478, 17055, 0.03
479, 20552, 0.63
480, 20229, 0.53
481, 20012, 0.50
482, 16974, -0.00
483, 16775, -0.02
484, 17526, 0.14
485, 19620, 0.53
486, 18586, 0.30
487, 16594, -0.03
488, 19299, 0.44
489, 20152, 0.60
490, 15590, -0.19
491, 22060, 0.95
492, 21954, 0.92
493, 8631, -1.40
494, 17809, 0.24
495, 19186, 0.46
496, 18164, 0.30
497, 16550, 0.01
498, 13239, -0.61
499, 16323, -0.14
500, 9088, -1.85
501, 19732, 0.51
502, 22238, 1.15
503, 8454, -2.89
504, 7287, -2.78
505, 12579, -1.17
506, 24018, 1.60
507, 8796, -1.96
508, 11174, -1.26
509, 21982, 1.16
510, 11641, -1.09
511, 25000, 1.84
512, 22318, 1.18
513, 10204, -1.31
514, 23507, 1.36
515, 12867, -0.73
516, 5953, -1.99
517, 10423, -1.01
518, 17776, 0.33
519, 13456, -0.42
520, 6790, -1.57
521, 17704, 0.41
522, 24836, 1.69
523, 16992, 0.30
524, 10191, -0.93
525, 16557, 0.22
526, 13222, -0.34
527, 22471, 1.30
528, 12239, -0.51
529, 12617, -0.44
530, 6636, -1.42
531, 13620, -0.23
532, 23325, 1.43
533, 28300, 2.24
534, 2459, -2.05
535, 8679, -1.00
536, 12192, -0.45
537, 10942, -0.59
538, 7233, -1.18
539, 10558, -0.64
540, 19506, 0.80
541, 14305, -0.05
542, 23233, 1.44
543, 29007, 2.35
544, 21288, 0.94
545, 12219, -0.39
546, 12369, -0.37
547, 18713, 0.57
548, 15813, 0.08
549, 16319, 0.17
550, 7041, -1.29
551, 2075, -2.07
552, 8146, -0.98
553, 13870, -0.06
554, 24957, 1.62
555, 13627, -0.15
556, 21795, 1.05
557, 9699, -0.74
558, 8605, -0.84
559, 18633, 0.62
560, 15969, 0.21
561, 16670, 0.27
562, 16844, 0.28
563, 22036, 1.09
564, 22254, 1.22
565, 19020, 0.63
566, 16336, 0.14
567, 22511, 1.15
568, 22265, 1.03
569, 21602, 0.86
570, 22211, 0.91
571, 22382, 0.91
572, 22058, 0.80
573, 18919, 0.29
574, 19118, 0.40
575, 19465, 0.48
576, 18901, 0.34
577, 19349, 0.39
578, 19591, 0.43
579, 18597, 0.22
580, 19219, 0.32
581, 19211, 0.26
582, 21861, 0.82
583, 22436, 0.95
584, 22454, 0.90
585, 21830, 0.77
586, 21980, 0.76
587, 18945, -0.13
588, 19713, 0.00
589, 19379, -0.35
590, 15815, -2.14
591, 9126, -5.44
592, 13954, -2.13
593, 20301, 0.19
594, 17339, -0.82
595, 17056, -0.86
596, 11391, -2.78
597, 8149, -3.48
598, 8784, -2.70
599, 4791, -3.33
600, 6434, -2.42
601, 2564, -2.92
602, 21078, 0.79
603, 6661, -1.78
604, 25765, 1.64
605, 32923, 2.73
606, 7968, -1.32
607, 13383, -0.45
608, 7632, -1.25
609, 10656, -0.74
610, 6311, -1.31
611, 4299, -1.50
612, 6398, -1.11
613, 6754, -0.99
614, 5279, -1.13
615, 3622, -1.28
616, 4941, -1.02
617, 4563, -1.01
618, 5889, -0.76
619, 5400, -0.77
620, 3476, -0.99
621, 3606, -0.91
622, 3908, -0.83
623, 5385, -0.58
624, 7101, -0.28
625, 7156, -0.23
626, 5876, -0.38
627, 4653, -0.54
628, 8130, 0.00
629, 8607, 0.08
630, 5880, -0.35
631, 5473, -0.41
632, 5575, -0.41
633, 7231, -0.09
634, 10134, 0.38
635, 13924, 1.27
636, 14138, 2.92
637, 9467, 0.91
638, 6607, -0.04
639, 9043, 0.88
640, 18155, 4.42
641, 10701, 1.11
642, 6827, -0.12
643, 3955, -0.98
644, 5556, -0.47
645, 7529, 0.11
646, 3482, -1.15
647, 10931, 1.09
648, 18805, 3.34
649, 4006, -0.98
650, 23441, 3.91
651, 5595, -0.61
652, 9556, 0.21
653, 9529, 0.16
654, 10439, 0.33
655, 7820, -0.26
656, 3292, -1.25
657, 14001, 1.08
658, 7667, -0.34
659, 6977, -0.48
660, 9231, 0.01
661, 16895, 1.62
